Tabel Kemampuan Uji Laboratorium Obat dan Nappza;;;;;;;;;;
;;;;;;;;;;
NO;ZAT AKTIF;JENIS SEDIAAN;BENTUK SEDIAAN;PARAMETER UJI ;Metode Uji (PNBP);Jumlah Sampel;;Harga;"Harga Total
(sudah termasuk organoleptik)";
;;;;;;Minimal;Satuan;;;
;;;;;;;;;;
1;AMBROXOL;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;Rp2.923.665;v
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;;;
;;;;Keseragaman Kandungan;;10;;Rp1.550.055;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;Rp1.342.353;;
2;AMLODIPIN BESILAT;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;Rp1.733.851;v
;;;;Identifikasi;KCKT;20;;Rp851.297;;
;;;;Penetapan kadar;;20;;;;
;;;;Keseragaman Kandungan;;10;;Rp851.297;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;;;
3;ASAM MEFENAMAT ;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;Rp3.774.962;v
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Bobot;Penimbangan;10;;Rp1.342.353;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;Rp851.297;;
4;AMOXICILLIN ;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;Rp3.774.962;v
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Bobot;Penimbangan;10;;Rp1.342.353;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;Rp851.297;;
5;ALLOPURINOL ;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;Rp3.774.962;v
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Bobot;Penimbangan;10;;Rp1.342.353;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;Rp851.297;;
6;ACYCLOVIR TABLET;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;Rp3.774.962;v
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;Rp851.297;;
;;;;Keseragaman Bobot;Penimbangan;10;;Rp1.550.055;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;Rp1.342.353;;
7;BETAHISTINE MESILATE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;Rp3.774.962;v
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;Rp851.297;;
;;;;Keseragaman Kandungan;;10;;Rp1.550.055;;
;;;;Disolusi;;12;;Rp1.342.353;;
8;"CAFFEINE; PARACETAMOL";Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;Rp3.774.962;v
;;;;identifikasi;KCKT;20;;;;
;;;;Disolusi;;12;;Rp1.550.055;;
;;;;Keseragaman sediaan;;10;;Rp1.342.353;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
9;CARBAMAZEPINE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;Rp3.774.962;v
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Bobot;Penimbangan;10;;Rp1.342.353;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;Rp851.297;;
10;CHLORPROMAZINE HYDROCHLORIDE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;Rp3.774.962;v
;;;;Identifikasi;Spektrofotometri UV-Vis;20;;;;
;;;;Disolusi;;12;;Rp1.550.055;;
;;;;Keseragaman sediaan;Penimbangan / Spektrofotometri UV-Vis;10;;Rp1.342.353;;
;;;;Penetapan Kadar;Spektrofotometri UV-Vis;20;;Rp851.297;;
11;CLOBAZAM;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;Rp2.432.609;v
;;;;Identifikasi;KCKT;20;;;;
;;;;Disolusi;;12;;Rp1.550.055;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
12;CLONAZEPAM;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;Rp3.774.962;v
;;;;Identifikasi;KCKT;20;;;;
;;;;Disolusi;;12;;Rp1.550.055;;
;;;;Keseragaman Sediaan;;10;;Rp1.342.353;;
